,step_length_L,step_length_R,stride_length_L,stride_length_R,stride_time_L,stride_time_R,stride_velocity_L,stride_velocity_R,stride_width_L,stride_width_R,stance_percentage_L,stance_percentage_R
pearson,0.9371048907381258,0.9719345015321997,0.9659527999893266,0.9726287933651978,0.9271033682251776,0.9065503359143814,0.963123905515124,0.9377713229836281,0.7878258732444635,0.888436019350671,0.7797585463325323,0.6534744278021317
spearman,0.8528131136344232,0.8758644241441134,0.8873047041748484,0.8964162986823476,0.7479697079448561,0.6357405477097278,0.8583625032015708,0.8119183812857508,0.7594979936822335,0.739776316912832,0.7747801587979168,0.6605481089387859
abs_rel_error,0.06953877225290392,0.0289336625740654,0.030330060452492237,0.03270833471252487,0.1784463018058113,0.15339715505975288,0.20955257737534616,0.1861797416927723,2.4402031630648446,2.7315991448722725,0.09552527132821456,0.11415803530124567
bias,0.06461573700840563,-0.015539784149508714,0.011927755559622524,0.022568982131724237,-0.1992252124581442,-0.1690338509703025,0.18608182919995508,0.16554857327259423,-0.13894072362521512,1.1250296899082939,0.04929474192188628,0.04336758541491947
range,0.19107889524965463,0.13923265078396643,0.15859181377796294,0.1471111438071048,0.33507804125781965,0.3971504270045466,0.31922148857285537,0.3661685940448156,17.110396305646002,19.735477101984703,0.3885852877019309,0.4815196996363499
