,stance_percentage,stance_percentage_double,step_length,stride_length,stride_time,stride_velocity,stride_width
pearson,0.83491280760498,0.8611257129875508,0.9657102298334687,0.9580161447071479,0.9341819872448898,0.9565634243173411,0.7791763219916746
spearman,0.7806710492615042,0.774182532229147,0.8827798172970204,0.8503372321352343,0.6875840431866552,0.8059421155980534,0.6280201485528899
abs_rel_error,0.07982946176338789,0.3158939675664951,0.03676331580765485,0.047790461013086,0.16906253454781558,0.19319368779952692,0.45206682382504915
bias,0.06485844999278154,0.21395097970662272,-0.003660150172195606,-0.008952019960929732,-0.18777513731789514,0.17250918830560186,0.24225751113014946
range,0.23131153120852044,0.8327826620031336,0.1896644549984464,0.24602123034395934,0.3223831607387636,0.32266623838670827,1.3412476879162039
