,0,0,1,1,2,2,3,3,4,4
,mean,std,mean,std,mean,std,mean,std,mean,std
participant,,,,,,,,,,
004,68.72,0.74,21.63,2.88,10.21,1.73,20.6,3.07,23.39,0.63
005,68.37,1.92,23.79,3.03,15.51,1.57,22.44,0.98,23.97,0.65
006,70.6,1.85,21.39,2.12,18.64,2.92,24.57,1.44,22.71,0.94
007,71.12,2.13,20.98,1.41,14.47,1.78,22.0,1.8,22.41,1.13
