,absolute_step_length,stance_percentage,stance_percentage_double,step_length,stride_length,stride_time,stride_velocity,stride_width
pearson,0.9899128276515936,0.7682386859148005,0.6852584507625519,0.9894664496880711,0.9947325567553125,0.9546437577386258,0.9643392052108156,0.8630296938427354
spearman,0.9170152821651155,0.7780315483426243,0.6608324445722639,0.9264065568172115,0.9779731921796294,0.7110655379403454,0.8920003415008965,0.7063092290617262
abs_rel_error,0.024414714094470193,0.13854803406827843,0.5818136385478877,0.020096963142307172,0.016201917295366124,0.16087729944862122,0.18538168354132353,0.6753809845025275
bias,0.023035220484266594,0.12805600734986944,0.433274551547543,0.01484679880764626,0.0030929414719668103,-0.1772362266188228,0.16653199076955363,0.39736164780011474
range,0.07392610998694023,0.1484835546755462,0.6254004976715148,0.081193537025922,0.08103542677080391,0.2760357870995948,0.30030368941467367,1.3673721631951898
